Hourly Obs,,,,,,,,,,,,,,,,,,,
Month/Year: 06/2013,,,,,,,,,,,,,,,,,,,
Station Location: BALTIMORE DOWNTOWN (93784),,,,,,,,,,,,,,,,,,,
Lat: 39.281,,,,,,,,,,,,,,,,,,,
Lon: -76.608,,,,,,,,,,,,,,,,,,,
Elev: 20 ft. above sea level,,,,,,,,,,,,,,,,,,,
WBAN,Date,Time,StationType,SkyCondition,Visibility,DryBulbFarenheit,DryBulbCelsius,WetBulbFarenheit,WetBulbCelsius,DewPointFarenheit,DewPointCelsius,RelativeHumidity,WindSpeed,WindDirection,StationPressure,SeaLevelPressure,RecordType,HourlyPrecip,Altimeter
93784,20130601,54,11,M,M,79,26.1,68,20.1,62,16.7,56,M,M,30.01,30.03,AA, ,30.03
93784,20130601,154,11,M,M,78,25.6,68,20.2,63,17.2,60,M,M,30.01,30.02,AA, ,30.03
93784,20130601,254,11,M,M,76,24.4,68,19.8,63,17.2,64,M,M,30,30.02,AA, ,30.02
93784,20130601,354,11,M,M,76,24.4,68,19.8,63,17.2,64,M,M,30.01,30.02,AA, ,30.03
93784,20130601,454,11,M,M,75,23.9,67,19.6,63,17.2,66,M,M,30.01,30.03,AA, ,30.03
93784,20130601,554,11,M,M,77,25,69,20.3,64,17.8,64,M,M,30.02,30.03,AA, ,30.04
93784,20130601,654,11,M,M,79,26.1,69,20.7,64,17.8,60,M,M,30.02,30.04,AA, ,30.04
93784,20130601,754,11,M,M,81,27.2,71,21.4,65,18.3,58,M,M,30.02,30.04,AA, ,30.04
93784,20130601,854,11,M,M,85,29.4,73,22.7,67,19.4,55,M,M,30,30.02,AA, ,30.02
93784,20130601,954,11,M,M,88,31.1,74,23.2,67,19.4,50,M,M,29.99,30.01,AA, ,30.01
93784,20130601,1054,11,M,M,89,31.7,74,23,66,18.9,47,M,M,29.99,30.01,AA, ,30.01
93784,20130601,1154,11,M,M,92,33.3,75,23.8,67,19.4,44,M,M,29.97,29.99,AA, ,29.99
93784,20130601,1254,11,M,M,92,33.3,76,24.4,69,20.6,47,M,M,29.95,29.97,AA, ,29.97
