Hourly Obs
Month/Year: 10/2013
Station Location: BALTIMORE DOWNTOWN (93784)
Lat: 39.281
Lon: -76.608
Elev: 20 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
93784,20131001,0054,11,M, ,M, , , ,65, ,18.3, ,58, ,14.5, ,53, ,11.7, , 65, ,M, ,M, , , ,30.02, , , , , ,30.04, ,AA, , , ,30.04, 
93784,20131001,0154,11,M, ,M, , , ,63, ,17.2, ,58, ,14.4, ,54, ,12.2, , 73, ,M, ,M, , , ,30.01, , , , , ,30.03, ,AA, , , ,30.03, 
93784,20131001,0254,11,M, ,M, , , ,63, ,17.2, ,57, ,14.1, ,53, ,11.7, , 70, ,M, ,M, , , ,30.01, , , , , ,30.02, ,AA, , , ,30.03, 
93784,20131001,0354,11,M, ,M, , , ,62, ,16.7, ,57, ,13.8, ,53, ,11.7, , 73, ,M, ,M, , , ,30.01, , , , , ,30.03, ,AA, , , ,30.03, 
93784,20131001,0454,11,M, ,M, , , ,64, ,17.8, ,58, ,14.6, ,54, ,12.2, , 70, ,M, ,M, , , ,30.02, , , , , ,30.04, ,AA, , , ,30.04, 
93784,20131001,0554,11,M, ,M, , , ,64, ,17.8, ,58, ,14.6, ,54, ,12.2, , 70, ,M, ,M, , , ,30.03, , , , , ,30.05, ,AA, , , ,30.05, 
93784,20131001,0654,11,M, ,M, , , ,66, ,18.9, ,60, ,15.3, ,55, ,12.8, , 68, ,M, ,M, , , ,30.03, , , , , ,30.05, ,AA, , , ,30.05, 
93784,20131001,0754,11,M, ,M, , , ,69, ,20.6, ,61, ,16.3, ,56, ,13.3, , 63, ,M, ,M, , , ,30.05, , , , , ,30.06, ,AA, , , ,30.07, 
93784,20131001,0854,11,M, ,M, , , ,73, ,22.8, ,63, ,17.4, ,57, ,13.9, , 57, ,M, ,M, , , ,30.05, , , , , ,30.06, ,AA, , , ,30.07, 
93784,20131001,0954,11,M, ,M, , , ,77, ,25.0, ,65, ,18.2, ,57, ,13.9, , 50, ,M, ,M, , , ,30.04, , , , , ,30.06, ,AA, , , ,30.06, 
93784,20131001,1054,11,M, ,M, , , ,80, ,26.7, ,66, ,18.8, ,57, ,13.9, , 45, ,M, ,M, , , ,30.02, , , , , ,30.04, ,AA, , , ,30.04, 
93784,20131001,1154,11,M, ,M, , , ,80, ,26.7, ,66, ,19.1, ,58, ,14.4, , 47, ,M, ,M, , , ,30.01, , , , , ,30.03, ,AA, , , ,30.03, 
93784,20131001,1254,11,M, ,M, , , ,81, ,27.2, ,66, ,19.0, ,57, ,13.9, , 44, ,M, ,M, , , ,29.98, , , , , ,30.00, ,AA, , , ,30.00, 
93784,20131001,1354,11,M, ,M, , , ,83, ,28.3, ,66, ,18.8, ,55, ,12.8, , 38, ,M, ,M, , , ,29.96, , , , , ,29.98, ,AA, , , ,29.98, 
93784,20131001,1454,11,M, ,M, , , ,84, ,28.9, ,66, ,19.0, ,55, ,12.8, , 37, ,M, ,M, , , ,29.94, , , , , ,29.96, ,AA, , , ,29.96, 
93784,20131001,1554,11,M, ,M, , , ,83, ,28.3, ,65, ,18.6, ,54, ,12.2, , 37, ,M, ,M, , , ,29.95, , , , , ,29.97, ,AA, , , ,29.97, 
93784,20131001,1654,11,M, ,M, , , ,82, ,27.8, ,66, ,18.6, ,55, ,12.8, , 40, ,M, ,M, , , ,29.95, , , , , ,29.96, ,AA, , , ,29.97, 
93784,20131001,1754,11,M, ,M, , , ,80, ,26.7, ,65, ,18.5, ,56, ,13.3, , 44, ,M, ,M, , , ,29.95, , , , , ,29.97, ,AA, , , ,29.97, 
93784,20131001,1854,11,M, ,M, , , ,78, ,25.6, ,65, ,18.4, ,57, ,13.9, , 49, ,M, ,M, , , ,29.96, , , , , ,29.98, ,AA, , , ,29.98, 
93784,20131001,1954,11,M, ,M, , , ,76, ,24.4, ,65, ,18.3, ,58, ,14.4, , 54, ,M, ,M, , , ,29.97, , , , , ,29.99, ,AA, , , ,29.99, 
93784,20131001,2054,11,M, ,M, , , ,74, ,23.3, ,64, ,17.9, ,58, ,14.4, , 58, ,M, ,M, , , ,29.98, , , , , ,30.00, ,AA, , , ,30.00, 
93784,20131001,2154,11,M, ,M, , , ,73, ,22.8, ,64, ,17.7, ,58, ,14.4, , 59, ,M, ,M, , , ,29.99, , , , , ,30.01, ,AA, , , ,30.01, 
93784,20131001,2254,11,M, ,M, , , ,71, ,21.7, ,63, ,17.3, ,58, ,14.4, , 64, ,M, ,M, , , ,30.00, , , , , ,30.01, ,AA, , , ,30.02, 
93784,20131001,2354,11,M, ,M, , , ,71, ,21.7, ,63, ,17.0, ,57, ,13.9, , 61, ,M, ,M, , , ,29.99, , , , , ,30.01, ,AA, , , ,30.01, 
93784,20131002,0054,11,M, ,M, , , ,70, ,21.1, ,62, ,16.8, ,57, ,13.9, , 64, ,M, ,M, , , ,30.00, , , , , ,30.02, ,AA, , , ,30.02, 
93784,20131002,0154,11,M, ,M, , , ,69, ,20.6, ,62, ,16.6, ,57, ,13.9, , 66, ,M, ,M, , , ,30.00, , , , , ,30.02, ,AA, , , ,30.02, 
93784,20131002,0254,11,M, ,M, , , ,69, ,20.6, ,62, ,16.6, ,57, ,13.9, , 66, ,M, ,M, , , ,30.00, , , , , ,30.02, ,AA, , , ,30.02, 
93784,20131002,0354,11,M, ,M, , , ,68, ,20.0, ,62, ,16.4, ,57, ,13.9, , 68, ,M, ,M, , , ,30.01, , , , , ,30.02, ,AA, , , ,30.03, 
93784,20131002,0454,11,M, ,M, , , ,68, ,20.0, ,62, ,16.4, ,57, ,13.9, , 68, ,M, ,M, , , ,30.01, , , , , ,30.03, ,AA, , , ,30.03, 
93784,20131002,0554,11,M, ,M, , , ,68, ,20.0, ,62, ,16.4, ,57, ,13.9, , 68, ,M, ,M, , , ,30.02, , , , , ,30.04, ,AA, , , ,30.04, 
93784,20131002,0654,11,M, ,M, , , ,70, ,21.1, ,62, ,16.8, ,57, ,13.9, , 64, ,M, ,M, , , ,30.04, , , , , ,30.06, ,AA, , , ,30.06, 
93784,20131002,0754,11,M, ,M, , , ,74, ,23.3, ,64, ,17.9, ,58, ,14.4, , 58, ,M, ,M, , , ,30.05, , , , , ,30.07, ,AA, , , ,30.07, 
93784,20131002,0854,11,M, ,M, , , ,77, ,25.0, ,65, ,18.5, ,58, ,14.4, , 52, ,M, ,M, , , ,30.06, , , , , ,30.08, ,AA, , , ,30.08, 
93784,20131002,0954,11,M, ,M, , , ,79, ,26.1, ,67, ,19.2, ,59, ,15.0, , 50, ,M, ,M, , , ,30.06, , , , , ,30.07, ,AA, , , ,30.08, 
93784,20131002,1054,11,M, ,M, , , ,82, ,27.8, ,68, ,20.0, ,60, ,15.6, , 47, ,M, ,M, , , ,30.04, , , , , ,30.06, ,AA, , , ,30.06, 
93784,20131002,1154,11,M, ,M, , , ,83, ,28.3, ,68, ,19.9, ,59, ,15.0, , 44, ,M, ,M, , , ,30.03, , , , , ,30.04, ,AA, , , ,30.05, 
93784,20131002,1254,11,M, ,M, , , ,86, ,30.0, ,69, ,20.5, ,59, ,15.0, , 40, ,M, ,M, , , ,30.00, , , , , ,30.02, ,AA, , , ,30.02, 
93784,20131002,1354,11,M, ,M, , , ,86, ,30.0, ,68, ,20.2, ,58, ,14.4, , 39, ,M, ,M, , , ,29.98, , , , , ,30.00, ,AA, , , ,30.00, 
93784,20131002,1454,11,M, ,M, , , ,87, ,30.6, ,68, ,19.8, ,56, ,13.3, , 35, ,M, ,M, , , ,29.97, , , , , ,29.99, ,AA, , , ,29.99, 
93784,20131002,1554,11,M, ,M, , , ,86, ,30.0, ,68, ,19.9, ,57, ,13.9, , 37, ,M, ,M, , , ,29.97, , , , , ,29.99, ,AA, , , ,29.99, 
93784,20131002,1654,11,M, ,M, , , ,85, ,29.4, ,68, ,19.7, ,57, ,13.9, , 39, ,M, ,M, , , ,29.98, , , , , ,30.00, ,AA, , , ,30.00, 
93784,20131002,1754,11,M, ,M, , , ,84, ,28.9, ,68, ,19.8, ,58, ,14.4, , 41, ,M, ,M, , , ,29.99, , , , , ,30.00, ,AA, , , ,30.01, 
93784,20131002,1854,11,M, ,M, , , ,82, ,27.8, ,68, ,19.7, ,59, ,15.0, , 46, ,M, ,M, , , ,30.00, , , , , ,30.01, ,AA, , , ,30.02, 
93784,20131002,1954,11,M, ,M, , , ,79, ,26.1, ,67, ,19.5, ,60, ,15.6, , 52, ,M, ,M, , , ,30.01, , , , , ,30.03, ,AA, , , ,30.03, 
93784,20131002,2054,11,M, ,M, , , ,78, ,25.6, ,67, ,19.3, ,60, ,15.6, , 54, ,M, ,M, , , ,30.02, , , , , ,30.03, ,AA, , , ,30.04, 
93784,20131002,2154,11,M, ,M, , , ,75, ,23.9, ,66, ,18.7, ,60, ,15.6, , 60, ,M, ,M, , , ,30.03, , , , , ,30.05, ,AA, , , ,30.05, 
93784,20131002,2254,11,M, ,M, , , ,74, ,23.3, ,65, ,18.5, ,60, ,15.6, , 62, ,M, ,M, , , ,30.04, , , , , ,30.06, ,AA, , , ,30.06, 
93784,20131002,2354,11,M, ,M, , , ,73, ,22.8, ,65, ,18.3, ,60, ,15.6, , 64, ,M, ,M, , , ,30.04, , , , , ,30.06, ,AA, , , ,30.06, 
93784,20131003,0054,11,M, ,M, , , ,72, ,22.2, ,65, ,18.1, ,60, ,15.6, , 66, ,M, ,M, , , ,30.05, , , , , ,30.06, ,AA, , , ,30.07, 
93784,20131003,0154,11,M, ,M, , , ,71, ,21.7, ,64, ,17.9, ,60, ,15.6, , 68, ,M, ,M, , , ,30.05, , , , , ,30.06, ,AA, , , ,30.07, 
93784,20131003,0254,11,M, ,M, , , ,71, ,21.7, ,64, ,17.6, ,59, ,15.0, , 66, ,M, ,M, , , ,30.05, , , , , ,30.06, ,AA, , , ,30.07, 
93784,20131003,0354,11,M, ,M, , , ,70, ,21.1, ,63, ,17.4, ,59, ,15.0, , 68, ,M, ,M, , , ,30.05, , , , , ,30.07, ,AA, , , ,30.07, 
93784,20131003,0454,11,M, ,M, , , ,69, ,20.6, ,63, ,17.2, ,59, ,15.0, , 71, ,M, ,M, , , ,30.07, , , , , ,30.08, ,AA, , , ,30.09, 
93784,20131003,0554,11,M, ,M, , , ,69, ,20.6, ,63, ,17.2, ,59, ,15.0, , 71, ,M, ,M, , , ,30.08, , , , , ,30.10, ,AA, , , ,30.10, 
93784,20131003,0654,11,M, ,M, , , ,70, ,21.1, ,64, ,17.7, ,60, ,15.6, , 71, ,M, ,M, , , ,30.09, , , , , ,30.11, ,AA, , , ,30.11, 
93784,20131003,0754,11,M, ,M, , , ,74, ,23.3, ,65, ,18.5, ,60, ,15.6, , 62, ,M, ,M, , , ,30.10, , , , , ,30.12, ,AA, , , ,30.12, 
93784,20131003,0854,11,M, ,M, , , ,77, ,25.0, ,66, ,19.1, ,60, ,15.6, , 56, ,M, ,M, , , ,30.10, , , , , ,30.12, ,AA, , , ,30.12, 
